Date Occurred,MOTOR VEHICLE THEFT,THEFT,BURGLARY,MISC,FRAUD,LARCENY-THEFT,AGGRAVATED ASSAULT,RAPE,ATTEMPT,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,DRUG OFFENSE
2015-12-29,47,66,91,153,6,46,86,4,11,1,1,0
2015-12-30,46,89,100,148,7,34,105,9,9,0,1,0
2015-12-31,66,74,109,171,15,48,113,12,13,1,0,0
2016-01-01,41,95,95,569,12,68,212,64,12,1,0,0
2016-01-02,53,84,79,133,5,49,106,5,14,1,1,0
2016-01-03,42,55,74,149,2,48,123,8,9,0,0,0
2016-01-04,45,75,78,190,13,49,98,6,7,2,2,0
2016-01-05,76,69,86,195,11,45,107,10,13,2,1,0
2016-01-06,52,66,91,146,9,42,80,5,6,0,2,0
2016-01-07,49,73,95,169,6,48,101,4,10,1,0,0
2016-01-08,59,100,80,205,5,39,83,6,13,2,3,0
2016-01-09,55,80,88,152,6,47,100,14,8,2,0,0
2016-01-10,44,65,78,151,3,47,104,11,16,1,0,0
2016-01-11,46,69,79,194,18,53,132,5,9,0,1,0
2016-01-12,42,70,88,157,6,33,97,5,16,1,0,0
2016-01-13,55,83,86,178,3,47,99,3,11,0,0,0
2016-01-14,56,79,99,166,13,55,89,9,13,0,0,0
2016-01-15,59,97,121,223,13,66,118,5,15,0,0,0
2016-01-16,56,90,95,181,5,45,133,8,11,1,0,0
2016-01-17,67,81,74,141,2,53,144,8,15,1,4,0
2016-01-18,58,91,74,173,1,58,117,3,9,1,2,0
2016-01-19,47,80,79,183,10,55,83,9,16,2,1,0
2016-01-20,71,82,94,158,11,56,116,11,13,1,1,0
2016-01-21,60,81,106,202,10,62,127,10,9,2,0,0
2016-01-22,56,93,89,216,6,58,118,10,15,1,0,0
2016-01-23,42,92,100,173,4,43,126,7,12,5,2,0
2016-01-24,52,96,87,148,2,50,123,7,7,0,0,0
2016-01-25,50,98,90,191,14,45,104,9,15,1,2,0
2016-01-26,56,85,93,169,9,52,99,6,17,1,0,0
2016-01-27,46,78,77,162,12,45,107,5,12,0,0,0
