Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2007-03-26,122,280,138,29,2,24,2,57,2
2007-03-27,109,367,137,26,2,29,2,65,1
2007-03-28,108,319,134,28,1,23,4,60,0
2007-03-29,124,290,131,21,0,26,3,62,2
2007-03-30,134,290,114,22,0,27,0,70,2
2007-03-31,106,278,121,23,4,22,5,60,3
2007-04-01,90,327,114,25,3,31,3,68,2
2007-04-02,83,323,154,22,1,28,2,63,0
2007-04-03,95,352,136,28,1,21,2,70,0
2007-04-04,76,369,134,22,2,18,3,68,1
2007-04-05,65,344,148,20,0,24,4,59,0
2007-04-06,78,286,132,23,0,21,2,60,2
2007-04-07,81,323,127,18,0,28,1,69,0
2007-04-08,65,195,79,24,2,32,1,60,2
2007-04-09,73,258,134,24,3,31,2,66,0
2007-04-10,108,315,91,34,1,21,3,60,0
2007-04-11,105,294,122,26,2,18,4,60,0
2007-04-12,100,286,138,30,0,23,2,71,1
2007-04-13,118,219,127,37,2,37,0,65,1
2007-04-14,94,273,118,25,1,24,3,71,1
2007-04-15,89,171,92,20,3,25,2,42,1
2007-04-16,109,203,118,33,1,15,7,42,2
2007-04-17,111,293,120,27,1,24,2,49,0
2007-04-18,132,328,139,42,0,26,2,75,0
2007-04-19,123,304,148,28,1,24,1,67,0
2007-04-20,121,222,111,28,3,28,4,58,1
2007-04-21,121,275,122,16,2,22,2,62,7
2007-04-22,111,326,130,30,4,24,2,44,2
2007-04-23,119,272,145,36,3,24,5,34,1
2007-04-24,143,319,133,36,0,24,2,63,1
2007-04-25,136,330,127,27,3,20,1,55,2
2007-04-26,108,249,152,30,2,22,3,55,2
2007-04-27,118,231,133,31,2,28,1,43,0
2007-04-28,97,286,125,35,3,32,1,52,3
2007-04-29,97,356,156,28,2,24,1,53,1
2007-04-30,147,309,141,40,1,21,4,37,0
2007-05-01,121,295,145,36,2,28,3,64,0
2007-05-02,112,326,136,30,2,23,5,62,0
2007-05-03,124,296,125,26,4,24,3,62,1
2007-05-04,124,264,132,29,3,39,6,47,0
2007-05-05,85,270,112,29,5,36,1,48,0
2007-05-06,115,226,133,33,1,34,4,45,1
2007-05-07,111,264,148,33,3,15,4,44,0
2007-05-08,112,350,124,30,4,21,3,65,1
2007-05-09,141,298,143,28,3,25,5,54,1
2007-05-10,140,307,140,25,4,29,5,55,2
2007-05-11,137,295,148,45,0,35,10,60,3
2007-05-12,117,315,120,28,1,29,0,52,0
2007-05-13,116,208,119,30,4,30,0,46,1
2007-05-14,127,356,155,41,3,35,2,56,2
2007-05-15,113,311,123,39,3,29,3,37,1
2007-05-16,93,227,110,32,0,22,5,62,0
2007-05-17,110,322,134,32,1,30,1,72,1
2007-05-18,106,272,151,39,1,34,4,70,1
2007-05-19,103,280,108,26,3,29,1,42,4
2007-05-20,101,221,109,30,1,14,4,50,3
2007-05-21,108,325,145,33,0,27,5,49,0
2007-05-22,120,342,127,38,2,21,6,66,1
2007-05-23,141,319,127,33,2,26,4,80,0
2007-05-24,120,340,132,33,1,29,1,75,0
2007-05-25,124,264,130,32,3,38,5,55,1
2007-05-26,104,293,125,31,7,28,4,38,0
2007-05-27,95,215,126,24,0,19,1,42,0
2007-05-28,99,218,112,24,1,27,4,31,1
2007-05-29,124,297,143,43,2,30,1,68,0
2007-05-30,115,293,164,34,7,27,3,72,1
2007-05-31,119,309,143,39,2,23,7,59,1
2007-06-01,93,234,133,36,2,25,5,63,3
2007-06-02,111,343,127,23,1,29,1,40,0
2007-06-03,123,257,119,22,1,24,2,55,0
2007-06-04,97,236,163,33,1,30,4,47,1
2007-06-05,132,327,145,30,2,31,5,49,2
2007-06-06,107,288,142,29,0,42,3,66,1
2007-06-07,124,248,132,26,2,39,2,60,2
2007-06-08,113,258,126,26,1,35,4,38,0
2007-06-09,117,287,114,26,0,40,1,35,1
2007-06-10,110,270,107,24,4,16,1,42,3
2007-06-11,100,256,145,32,0,23,0,54,2
2007-06-12,115,298,138,34,1,26,5,58,0
2007-06-13,93,357,132,26,1,33,1,87,2
2007-06-14,114,317,123,28,3,24,2,64,0
