County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Westchester,Rye Brook Vg PD,2016,12,67,3,0,2,0,1,64,7,52,5,Non-New York City
Westchester,Rye City PD,2016,12,63,1,0,0,0,1,62,8,50,4,Non-New York City
Westchester,Scarsdale Vg PD,2016,12,168,4,1,1,0,2,164,42,119,3,Non-New York City
Westchester,Sleepy Hollow Vg PD,2016,12,23,6,0,0,2,4,17,6,10,1,Non-New York City
Westchester,SUNY Police - Purchase,2016,12,44,1,0,1,0,0,43,7,36,0,Non-New York City
Westchester,Tarrytown Vg PD,2016,12,64,5,0,0,0,5,59,8,50,1,Non-New York City
Westchester,Tuckahoe Vg PD,2016,12,50,1,0,0,0,1,49,4,40,5,Non-New York City
Westchester,Westchester Co Dept Pub Safety,2016,12,377,72,0,2,7,63,305,19,270,16,Non-New York City
Westchester,Westchester County MTA,2016,12,93,15,0,0,7,8,78,2,76,0,Non-New York City
Westchester,Westchester County Park PD,2016,12,9,1,0,0,0,1,8,0,8,0,Non-New York City
Westchester,Westchester County State Police,2016,12,506,63,0,20,8,35,443,58,372,13,Non-New York City
Westchester,White Plains City PD,2016,12,1052,121,0,10,30,81,931,53,854,24,Non-New York City
Westchester,Yonkers City PD,2016,12,3130,943,8,34,408,493,2187,422,1516,249,Non-New York City
Westchester,Yorktown Town PD,2016,12,356,14,0,4,6,4,342,39,299,4,Non-New York City
Wyoming,Arcade Vg PD,2016,12,16,1,0,0,0,1,15,2,13,0,Non-New York City
Wyoming,Attica Vg PD,2016,12,7,1,0,0,0,1,6,1,5,0,Non-New York City
Wyoming,County Total,2016,,327,48,3,14,1,30,279,52,223,4,Non-New York City
Wyoming,Perry Vg PD,2016,12,62,9,1,6,0,2,53,11,41,1,Non-New York City
Wyoming,Warsaw Vg PD,2016,12,37,4,0,1,0,3,33,1,32,0,Non-New York City
Wyoming,Wyoming County Park PD,2016,12,3,2,2,0,0,0,1,0,1,0,Non-New York City
Wyoming,Wyoming County Sheriff,2016,12,166,14,0,3,1,10,152,35,115,2,Non-New York City
Wyoming,Wyoming County State Police,2016,12,36,17,0,4,0,13,19,2,16,1,Non-New York City
Yates,County Total,2016,,320,17,0,6,1,10,303,78,223,2,Non-New York City
Yates,Penn Yan Vg PD,2016,12,70,0,0,0,0,0,70,16,54,0,Non-New York City
Yates,Yates County Sheriff,2016,12,232,16,0,5,1,10,216,58,156,2,Non-New York City
Yates,Yates County State Police,2016,12,18,1,0,1,0,0,17,4,13,0,Non-New York City
Albany,Albany City PD,2015,12,4273,823,5,49,240,529,3450,480,2851,119,Non-New York City
Albany,Albany County Park PD,2015,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Albany,Albany County Sheriff,2015,12,127,17,0,4,1,12,110,34,72,4,Non-New York City
Albany,Albany County State Police,2015,12,148,12,0,7,0,5,136,8,124,4,Non-New York City
Albany,Altamont Vg PD,2015,12,12,1,0,0,1,0,11,1,10,0,Non-New York City
Albany,Bethlehem Town PD,2015,12,487,25,0,12,2,11,462,58,395,9,Non-New York City
Albany,Coeymans Town PD,2015,12,97,5,0,0,0,5,92,17,72,3,Non-New York City
Albany,Cohoes City PD,2015,12,268,38,0,8,10,20,230,47,166,17,Non-New York City
Albany,Colonie Town PD,2015,12,2057,74,1,3,28,42,1983,201,1745,37,Non-New York City
Albany,County Total,2015,,8641,1041,6,95,289,651,7600,940,6441,219,Non-New York City
Albany,Green Island Vg PD,2015,12,51,2,0,0,0,2,49,10,35,4,Non-New York City
Albany,Guilderland Town PD,2015,12,581,10,0,5,3,2,571,21,544,6,Non-New York City
Albany,Menands Vg PD,2015,12,131,4,0,1,0,3,127,17,106,4,Non-New York City
Albany,SUNY Police - Albany,2015,12,168,5,0,1,1,3,163,9,154,0,Non-New York City
Albany,Watervliet City PD,2015,12,235,25,0,5,3,17,210,37,161,12,Non-New York City
Allegany,Alfred Vg PD,2015,12,36,4,0,2,0,2,32,2,30,0,Non-New York City
Allegany,Allegany County Sheriff,2015,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Allegany,Allegany County State Police,2015,12,282,38,0,24,0,14,244,63,172,9,Non-New York City
Allegany,Andover Vg PD,2015,12,1,0,0,0,0,0,1,0,0,1,Non-New York City
Allegany,Angelica Vg PD,2015,12,4,0,0,0,0,0,4,2,2,0,Non-New York City
Allegany,County Total,2015,,579,57,0,28,0,29,522,95,412,15,Non-New York City
Allegany,Cuba Town PD,2015,12,76,3,0,0,0,3,73,7,62,4,Non-New York City
Allegany,Friendship Town PD,2015,12,6,1,0,0,0,1,5,2,3,0,Non-New York City
Allegany,Independence Town PD,2015,12,6,0,0,0,0,0,6,3,3,0,Non-New York City
Allegany,SUNY Police - Alfred,2015,12,55,3,0,2,0,1,52,7,44,1,Non-New York City
